County,State,Population in 2010,Area (sq km),Total Onshore & Offshore Hydrogen Potential (kg/yr)
Marion,Mississippi,27088,1427,13514717.11
Scott,Mississippi,28264,1589,6721546.54
Smith,Mississippi,16491,1642,30685731.42
Leake,Mississippi,23805,1502,1893810.27
Kemper,Mississippi,10456,1986,3621046.28
Neshoba,Mississippi,29676,1472,1813827.24
Noxubee,Mississippi,11545,1851,24218358.07
Pearl River,Mississippi,55834,2120,3571792.49
Harrison,Mississippi,187105,1525,3524420.03
Jackson,Mississippi,139668,1928,2450224.06
Pemiscot,Missouri,18296,1311,18569883.99
Andrew,Missouri,17291,1124,4492885.16
Buchanan,Missouri,89201,1075,7456016.6
Nodaway,Missouri,23370,2265,10690353.3
Holt,Missouri,4912,1207,8951621.47
Atchison,Missouri,5685,1430,13835740.05
Cooper,Missouri,17601,1476,4649784.65
DeKalb,Missouri,12892,1101,3653728.53
Gentry,Missouri,6738,1279,4322319.18
Staunton,Virginia,23746,51,435825.25
Patrick,Virginia,18490,1259,8082665.52
Caldwell,Missouri,9424,1115,2604777.71
Lexington,Virginia,7042,8,115733.63
Daviess,Missouri,8433,1474,5033290.29
Grundy,Missouri,10261,1128,4011613.05
Falls Church,Virginia,12332,5,209526.94
Harrison,Missouri,8957,1879,5494769.29
Mercer,Missouri,3785,1168,3600360.53
Sullivan,Missouri,6714,1696,3518282.36
Linn,Missouri,12761,1616,3859133.24
Lewis,Missouri,10211,1317,7295906.51
Monroe,Missouri,8840,1732,5743211.98
Shelby,Missouri,6373,1305,6514032.92
Adair,Missouri,25607,1457,3024884.94
Knox,Missouri,4131,1326,4397387.79
Macon,Missouri,15566,2116,6010562.66
Randolph,Missouri,25414,1271,4535298.65
Scotland,Missouri,4843,1130,3987295.68
Barry,Missouri,35597,2059,2140001.64
Cedar,Missouri,13982,1290,2656683.59
Dade,Missouri,7883,1323,2968429.4
Hickory,Missouri,9627,1064,592565.84
Polk,Missouri,31137,1663,983855.52
Dallas,Missouri,16777,1411,1006198.42
Wayne,Missouri,13521,2016,2453875.97
Pulaski,Missouri,52274,1440,848308.66
Wright,Missouri,18815,1768,1121952.81
Howard,Missouri,10144,1212,3685464.9
Moniteau,Missouri,15607,1088,1576512.5
St. Louis City,Missouri,319294,170,6103446.51
Carter,Missouri,6265,1326,4339247.87
Crawford,Missouri,24696,1940,4598503.64
Iron,Missouri,10630,1427,2229358.95
Reynolds,Missouri,6696,2104,5527309.28
Ripley,Missouri,14100,1646,4666433.43
Bollinger,Missouri,12363,1599,4151257.47
Oregon,Missouri,10881,2054,4131011.46
Madison,Missouri,12226,1291,6045822.57
Bedford City,Virginia,6222,22,117972.55
McDonald,Missouri,23083,1399,1454035.2
Cape Girardeau,Missouri,75674,1521,5993630.22
New Madrid,Missouri,18956,1795,19475605.4
Perry,Missouri,18971,1250,7670352.98
Golden Valley,Montana,884,3021,584547.28
Wibaux,Montana,1017,2309,1122743.5
Sheridan,Montana,3384,4424,8769631.02
Daniels,Montana,1751,3696,6926716.44
Roosevelt,Montana,10425,6140,10384031.57
Chouteau,Montana,5813,10354,17292138.69
Liberty,Montana,2339,3763,6969577.15
Dakota,Nebraska,21006,697,7528267.57
Thurston,Nebraska,6940,1018,9322160.34
Cheyenne,Nebraska,9998,3091,9114555.74
Custer,Nebraska,10939,6671,29554127.99
Buffalo,Nebraska,46102,2523,27706078.26
Kearney,Nebraska,6489,1333,23484512.28
Phelps,Nebraska,9188,1399,29661159.96
Platte,Nebraska,32237,1799,24918991.8
Hamilton,Nebraska,9124,1415,26830140.12
Merrick,Nebraska,7845,1280,16299738.2
Kimball,Nebraska,3821,2455,4020304.1
Dundy,Nebraska,2008,2370,9459632.47
Greeley,Nebraska,2538,1479,8221947.85
Sherman,Nebraska,3152,1475,7458233.47
Valley,Nebraska,4260,1482,9090697.72
Buena Vista,Virginia,6650,18,250776.43
Adams,Nebraska,31364,1460,26478948.72
Perkins,Nebraska,2970,2300,16653510.13
Hall,Nebraska,58607,1431,25554847.4
Barbour,West Virginia,16589,894,2222836.41
Putnam,West Virginia,55486,906,1291944.35
Greenbrier,West Virginia,35480,2643,3266483.59
Jackson,West Virginia,29211,1209,3645269.55
Pendleton,West Virginia,7695,1795,1794035.11
Grant,West Virginia,11937,1244,1561476.32
Randolph,West Virginia,29405,2699,14071735.66
Harlan,Nebraska,3423,1476,12754327.16
Upshur,West Virginia,24254,915,8745834.9
Lewis,West Virginia,16372,1004,1501374.22
Kanawha,West Virginia,193063,2348,5223014.46
Hancock,West Virginia,30676,224,426596.8
Hardy,West Virginia,14025,1518,4538627.7
Preston,West Virginia,33520,1683,8615776.72
Mingo,West Virginia,26839,1087,849756.42
Taylor,West Virginia,16895,458,564185.16
Nicholas,West Virginia,26233,1687,16389048.2
Pleasants,West Virginia,7605,347,324543.1
Franklin,Nebraska,3225,1491,10285708.04
Webster,Nebraska,3812,1493,9893940.99
Seward,Nebraska,16750,1493,18498461.13
Clay,Nebraska,6542,1484,22153321.48
Jefferson,Nebraska,7547,1488,14126033.27
Saline,Nebraska,14200,1490,16861505.72
Nance,Nebraska,3735,1161,7193565.55
Cuming,Nebraska,9139,1490,22425528.6
Morrill,Nebraska,5042,3711,8644176.78
Gage,Nebraska,22311,2225,17097655.95
Banner,Nebraska,690,1928,3155548.29
Box Butte,Nebraska,11308,2789,9524135.59
Dawes,Nebraska,9182,3611,1573400.83
Scotts Bluff,Nebraska,36970,1937,10676624.87
Grant,Nebraska,614,2036,15572.73
Blaine,Nebraska,478,1860,473476.32
Logan,Nebraska,763,1478,2105583.02
Garfield,Nebraska,2049,1472,1918806.63
Loup,Nebraska,632,1479,451503.09
Pierce,Nebraska,7266,1485,15109123.43
Wayne,Nebraska,9595,1151,9752916.3
Boone,Nebraska,5505,1792,21979943.64
Madison,Nebraska,34876,1481,15766933.9
Pawnee,Nebraska,2773,1119,5518611.73
Keith,Nebraska,8368,2873,11788882.29
Thayer,Nebraska,5228,1482,19374031.3
Nuckolls,Nebraska,4500,1493,13385766.55
Wheeler,Nebraska,818,1486,6286488.69
York,Nebraska,13665,1497,29608248.69
Antelope,Nebraska,6685,2225,26862641.28
Garden,Nebraska,2057,4476,3363609.61
Chase,Nebraska,3966,2321,18724749.37
Frontier,Nebraska,2756,2540,6741429.85
Hayes,Nebraska,967,1846,6689953.03
Hitchcock,Nebraska,2908,1858,4150290.4
Gosper,Nebraska,2044,1199,11076733.88
Red Willow,Nebraska,11055,1846,8799285.56
Furnas,Nebraska,4959,1858,10320877.34
Nemaha,Nebraska,7248,1065,9172204.31
Howard,Nebraska,6274,1484,11149729.93
Rock,Nebraska,1526,2633,3217013.94
Dixon,Nebraska,6000,1255,7585978.57
Washoe,Nevada,421407,16952,7451955.08
Storey,Nevada,4010,683,71565.24
Pershing,Nevada,6753,15714,492143.75
Clark,Nevada,1951269,20899,31152267.37
Douglas,Nevada,46997,1902,736412.77
Rockingham,New Hampshire,295223,1843,5604078.31
Cheshire,New Hampshire,77117,1879,7565643.35
Luna,New Mexico,25095,7675,949890.64
Curry,New Mexico,48376,3639,4725123.45
Valencia,New Mexico,76569,2775,1082005.88
Harding,New Mexico,695,5507,27777.54
Catron,New Mexico,3725,17987,229500.91
Cortland,New York,49336,1301,2634309.25
Yates,New York,25348,975,2262767.42
Rockland,New York,311687,512,4431276.79
Caswell,North Carolina,23719,1107,3528582.94
Person,North Carolina,39464,1056,9434951.08
Harnett,North Carolina,114678,1560,5248217.07
Moore,North Carolina,88247,1836,6680371.13
Scotland,North Carolina,36157,819,3630952.07
Forsyth,North Carolina,350670,1073,6715316.89
Avery,North Carolina,17797,634,517531.96
Wilkes,North Carolina,69340,1957,14970463.12
Madison,North Carolina,20764,1170,1184533.29
Polk,North Carolina,20510,618,2457089.51
Clay,North Carolina,10587,572,692751.25
Cleveland,North Carolina,98078,1221,6959375.74
Stokes,North Carolina,47401,1178,4500057.66
Rockingham,North Carolina,93643,1481,5691412.05
Durham,North Carolina,267587,770,4791006.44
Chatham,North Carolina,63505,1833,11375575.86
Lee,North Carolina,57866,672,2322765.02
Transylvania,North Carolina,33090,987,606335.26
Steele,North Dakota,1975,1861,18197317.98
McIntosh,North Dakota,2809,2560,9956255.97
Sheridan,North Dakota,1321,2603,9357338.18
McKenzie,North Dakota,6360,7384,6115470.07
Dunn,North Dakota,3536,5414,6629404.41
Bottineau,North Dakota,6429,4425,24099778.95
Towner,North Dakota,2246,2704,17410888.59
Renville,North Dakota,2470,2321,15193428.88
Foster,North Dakota,3343,1678,13369299.98
Adams,North Dakota,2343,2568,7781579.27
Bowman,North Dakota,3151,3022,5485809.98
Hettinger,North Dakota,2477,2937,14962596.14
Slope,North Dakota,727,3166,4475338.06
Billings,North Dakota,783,2996,1628857.06
Golden Valley,North Dakota,1680,2577,3968633.53
Eddy,North Dakota,2385,1670,8538290.77
Wells,North Dakota,4207,3344,23046368.6
Dickey,North Dakota,5289,2953,22024386.45
Barnes,North Dakota,11066,3926,36467405.26
Griggs,North Dakota,2420,1858,11039087.25
Sargent,North Dakota,3829,2244,20505142.22
Cavalier,North Dakota,3993,3913,31440250.83
Ransom,North Dakota,5457,2234,14839123.58
Pierce,North Dakota,4357,2796,12570720.77
Nelson,North Dakota,3126,2599,12717737.5
Rolette,North Dakota,13937,2442,9257057.44
Burke,North Dakota,1968,2928,9222556.17
Divide,North Dakota,2071,3359,7515096.34
Harrison,Ohio,15864,1064,1723664.85
Hocking,Ohio,29380,1095,3911512.75
Holmes,Ohio,42366,1102,12453612.41
Jackson,Ohio,33225,1092,6653473.68
Vinton,Ohio,13435,1074,11895659.96
Trumbull,Ohio,210312,1649,10340535.86
Knox,Ohio,60921,1371,8458372.33
Guernsey,Ohio,40087,1369,1853676.1
Franklin,Ohio,1163414,1417,21894219.59
Madison,Ohio,43435,1200,15335274.84
Pickaway,Ohio,55698,1313,14455440.76
Delaware,Ohio,174214,1183,10365615.56
Auglaize,Ohio,45949,1041,11698356.21
Defiance,Ohio,39037,1075,9669843.34
Paulding,Ohio,19614,1088,10613494.41
Van Wert,Ohio,28744,1062,14751361.85
Darke,Ohio,52959,1565,17700337.93
Mercer,Ohio,40814,1229,16064989.39
Preble,Ohio,42270,1106,10808057.63
Champaign,Ohio,40097,1114,10026614.72
Fayette,Ohio,29030,1052,11990965.33
Logan,Ohio,45858,1208,11894444.04
Miami,Ohio,102506,1061,10849735.41
Shelby,Ohio,49423,1063,12519241.52
Clark,Ohio,138333,1044,12081243.36
Clinton,Ohio,42040,1069,14305729.94
Hardin,Ohio,32058,1221,14802941.97
Union,Ohio,52300,1132,14114116.02
Marion,Ohio,66501,1047,11746256.21
Allen,Ohio,106331,1055,13886468.35
Henry,Ohio,28215,1089,13381844.25
Putnam,Ohio,34499,1253,17241225.46
Hancock,Ohio,74782,1382,15329404.44
Seneca,Ohio,56745,1431,15411643.33
Wyandot,Ohio,22615,1057,16407644.61
Crawford,Ohio,43784,1042,18532207.84
Huron,Ohio,59626,1284,13021832.99
Morrow,Ohio,34827,1055,9224900.22
Williams,Ohio,37642,1102,11475321.52
Fulton,Ohio,42698,1051,14167070.27
Mayes,Oklahoma,41259,1775,987168.53
Carter,Oklahoma,47557,2151,2264015.68
Craig,Oklahoma,15029,1960,1076370.05
Blaine,Oklahoma,11943,2413,5219258.27
Garfield,Oklahoma,60580,2742,12356755.19
Kingfisher,Oklahoma,15034,2358,7457567.64
Stephens,Oklahoma,45048,2306,889215.68
Adair,Oklahoma,22683,1495,1294270.94
Latimer,Oklahoma,11154,1880,503400.68
Choctaw,Oklahoma,15205,2074,849055.55
Pittsburg,Oklahoma,45837,3578,782261.85
Cimarron,Oklahoma,2475,4754,8578059.3
Washington,Oklahoma,50976,1089,1089088.89
Alfalfa,Oklahoma,5642,2289,7077946.31
Grant,Oklahoma,4527,2614,8698800.82
Dewey,Oklahoma,4810,2615,2168540.03
Major,Oklahoma,7527,2479,5193416.14
Beckham,Oklahoma,22119,2350,1823339.41
Harmon,Oklahoma,2922,1394,2405463.4
Ottawa,Oklahoma,31848,1255,1757499.91
Okfuskee,Oklahoma,12191,1619,257890.68
Cotton,Oklahoma,6193,1669,3397997.28
Coal,Oklahoma,5925,1366,140724.66
Johnston,Oklahoma,10957,1692,163410.02
Nowata,Oklahoma,10536,1509,428350.76
Malheur,Oregon,31313,25715,5588852.71
Clatsop,Oregon,37039,2108,17667223.88
Washington,Oregon,529710,1888,32340369.2
Multnomah,Oregon,735334,1129,14423313.04
Clackamas,Oregon,375992,4886,35565973.96
Hood River,Oregon,22346,1398,3731743.62
Wasco,Oregon,25213,6220,8465079.57
Gilliam,Oregon,1871,3184,3963261.5
Union,Oregon,25748,5292,19388680.13
Wallowa,Oregon,7008,8185,3218293.44
Sherman,Oregon,1765,2148,5982386.4
Columbia,Oregon,49351,1719,23311752.49
Grant,Oregon,7445,11722,4841831.35
Crook,Oregon,20978,7753,1016117.52
Lincoln,Oregon,46034,2542,6597411.82
Benton,Oregon,85579,1761,20300406.15
Warren,Pennsylvania,41815,2314,5386157.16
Cameron,Pennsylvania,5085,1037,4034456.92
McKean,Pennsylvania,43450,2552,4885747.6
Potter,Pennsylvania,17457,2806,15860262.3
Bradford,Pennsylvania,62622,3002,5918405
Pike,Pennsylvania,57369,1462,1166065.82
Mercer,Pennsylvania,116638,1766,8911839.97
Susquehanna,Pennsylvania,43356,2152,2639879.93
Lebanon,Pennsylvania,133568,936,10363126.05
Lawrence,Pennsylvania,91108,937,3602335.81
Chester,Pennsylvania,498886,1966,12909133.22
Wyoming,Pennsylvania,28276,1054,2314679.18
Washington,Pennsylvania,207820,2236,4602296.71
Delaware,Pennsylvania,558979,491,8711918.71
Allegheny,Pennsylvania,1223348,1925,25587965.13
Lackawanna,Pennsylvania,214437,1200,5604744.24
Sullivan,Pennsylvania,6428,1168,2193637.78
Cambria,Pennsylvania,143679,1793,7391032.02
Schuylkill,Pennsylvania,148289,2029,7722475.21
York,Pennsylvania,434972,2371,19241357.98
Cumberland,Pennsylvania,235406,1424,8550076.83
Dauphin,Pennsylvania,268100,1437,8446515.9
Westmoreland,Pennsylvania,365169,2685,15958462.35
Northumberland,Pennsylvania,94528,1222,6848734.94
Lehigh,Pennsylvania,349497,895,9747928.84
Forest,Pennsylvania,7716,1111,1547291.5
Clinton,Pennsylvania,39238,2323,3197583.55
Bristol,Rhode Island,49875,64,704492.72
Deuel,South Dakota,4364,1650,8682832.6
Hyde,South Dakota,1420,2238,6103204.34
Clay,South Dakota,13864,1082,7414595.57
Campbell,South Dakota,1466,1986,6092098.59
Walworth,South Dakota,5438,1932,8463365.31
McPherson,South Dakota,2459,2974,7523808.12
Todd,South Dakota,9612,3620,1235673.04
Miner,South Dakota,2389,1484,7362995.74
Buffalo,South Dakota,1912,1265,2098173.97
Hand,South Dakota,3431,3724,19625549.14
Sanborn,South Dakota,2355,1486,6544975
Spink,South Dakota,6415,3932,33408683.95
Hanson,South Dakota,3331,1129,6240840.23
Hamlin,South Dakota,5903,1383,12686433.65
Hutchinson,South Dakota,7343,2111,6620876.48
Clark,South Dakota,3691,2510,16836356.44
McCook,South Dakota,5618,1498,9459400.95
Aurora,South Dakota,2710,1849,6740199.22
Douglas,South Dakota,3002,1132,4215240.28
Jerauld,South Dakota,2071,1380,6072559.21
Brule,South Dakota,5255,2178,7643032.76
Davison,South Dakota,19504,1139,5480588.93
Kingsbury,South Dakota,5148,2230,17403650.4
Beadle,South Dakota,17398,3272,18685920.38
Day,South Dakota,5710,2818,15358044.65
Minnehaha,South Dakota,169468,2106,18817398.13
Moody,South Dakota,6486,1352,13188106.26
Potter,South Dakota,2329,2328,13823968.11
Bennett,South Dakota,3431,3108,1857751.18
Faulk,South Dakota,2364,2603,15197698.06
Turner,South Dakota,8347,1599,9614716.72
Edmunds,South Dakota,4071,2979,18925651.18
Codington,South Dakota,27227,1865,11127520.83
Brookings,South Dakota,31965,2078,16158927.91
Perkins,South Dakota,2982,7507,3221129.02
Marshall,South Dakota,4656,2283,14648611.26
Lake,South Dakota,11200,1482,11109061.58
Grant,South Dakota,7356,1787,13371734.21
Jackson,South Dakota,3031,4854,1533499.08
Haakon,South Dakota,1937,4729,3113711.79
Hughes,South Dakota,17022,2075,8734908.71
Butte,South Dakota,10110,5876,11347307.33
Fall River,South Dakota,7094,4517,1112959.96
Trousdale,Tennessee,7870,289,254435.29
Lake,Tennessee,7832,509,4938588.4
Cheatham,Tennessee,39105,799,2186530
Marshall,Tennessee,30617,978,4284465.73
Polk,Tennessee,16825,1143,1332243.59
Gibson,Tennessee,49683,1569,13906341.57
Crockett,Tennessee,14586,691,5045097.69
Stewart,Tennessee,13324,1282,3669511.75
Houston,Tennessee,8426,533,3840923.12
Montgomery,Tennessee,172331,1414,5406320.5
Wilson,Tennessee,113993,1515,2032570.15
Hickman,Tennessee,24690,1589,4395749.21
Humphreys,Tennessee,18538,1437,5541224.98
Benton,Tennessee,16489,1133,1758814.4
DeKalb,Tennessee,18723,853,1322813.2
Bradley,Tennessee,98963,855,2426110.22
Macon,Tennessee,22248,804,6680986.36
Hardin,Tennessee,26026,1534,16828253.05
Sequatchie,Tennessee,14112,689,1192149.05
Williamson,Tennessee,183182,1510,3254530.93
Carroll,Tennessee,28522,1554,8219213.36
Giles,Tennessee,29485,1582,5996218.63
Coffee,Tennessee,52796,1127,4074421.19
Lauderdale,Tennessee,27815,1316,8903902.52
Madison,Tennessee,98294,1446,10123386.02
Knox,Tennessee,432226,1360,7347984.75
Weakley,Tennessee,35021,1503,10155567.48
Hardeman,Tennessee,27253,1728,8475389.39
Grainger,Tennessee,22657,785,5554333.9
Haywood,Tennessee,18787,1372,10063315.42
Lewis,Tennessee,12161,731,6070260.13
Robertson,Tennessee,66283,1242,7555446.95
Johnson,Tennessee,18244,784,740898.53
Marion,Tennessee,28237,1328,2801148.68
Ector,Texas,137130,2328,1870187.47
Brooks,Texas,7223,2449,275850.67
Hockley,Texas,22935,2344,5625345.09
Andrews,Texas,14786,3888,560562.32
Gaines,Texas,17526,3901,9714237.52
Terrell,Texas,984,6117,18619.01
Webb,Texas,250304,8777,3601951.98
Fort Bend,Texas,585375,2296,15695443.93
San Augustine,Texas,8865,1526,5480875.03
Jim Hogg,Texas,5300,2959,80168.62
Collingsworth,Texas,3057,2378,1722084.5
Lynn,Texas,5915,2324,4592865.99
Jack,Texas,9044,2386,161027.4
Lubbock,Texas,278831,2326,14548112.16
Sterling,Texas,1143,2388,14586.82
Gray,Texas,22535,2406,4442212.09
Hall,Texas,3353,2329,1229174.9
Brazoria,Texas,313166,3711,8720606.41
Sabine,Texas,10834,1504,16584163.65
Liberty,Texas,75643,3053,33218122.68
Palo Pinto,Texas,28111,2538,443132.27
Harris,Texas,4092459,4594,73490017.7
Galveston,Texas,291309,1074,9760053.93
Panola,Texas,23796,2122,5447286.83
Gregg,Texas,121730,718,10248131.34
Moore,Texas,21904,2350,15088164.78
Reagan,Texas,3367,3064,485357.85
Rockwall,Texas,78337,382,1125024.59
Upton,Texas,3355,3216,466476.27
Comanche,Texas,13974,2438,896431.43
Donley,Texas,3677,2419,1961021.96
Callahan,Texas,13544,2328,655850.09
Dawson,Texas,13833,2322,4553598.4
Coke,Texas,3320,2388,233163.64
Fisher,Texas,3974,2350,1466902.8
Concho,Texas,4087,2559,1349597.87
Oldham,Texas,2052,3891,1802978.81
Mitchell,Texas,9403,2335,1705094.64
Hartley,Texas,6062,3785,17446261.02
Kent,Texas,808,2315,54106.9
Irion,Texas,1599,2706,53305.32
Hemphill,Texas,3807,2365,1414225.24
Sutton,Texas,4128,3687,55633.68
Briscoe,Texas,1637,2337,1066472.54
Midland,Texas,136872,2344,4445658.5
Bailey,Texas,7165,2133,5823090.98
Lamb,Texas,13977,2618,11212678.91
Potter,Texas,121073,2384,6459615.22
Roberts,Texas,929,2377,518527.47
Randall,Texas,120725,2399,9292077.32
Motley,Texas,1210,2580,142575.01
Dickens,Texas,2444,2352,620995.55
Winkler,Texas,7110,2178,96320.23
King,Texas,286,2361,3481.34
Parmer,Texas,10269,2293,15895733.49
Hale,Texas,36273,2601,11541058.86
Crosby,Texas,6059,2343,4674545.75
Glasscock,Texas,1226,2347,1402956.14
Castro,Texas,8062,2359,25872009.8
Martin,Texas,4799,2353,1155817.75
Cochran,Texas,3127,1994,3388780.23
Cottle,Texas,1505,2316,404955.29
Borden,Texas,641,2331,231866.65
Wheeler,Texas,5410,2375,2796209.67
Stephens,Texas,9630,2357,149338.22
Deaf Smith,Texas,19372,3873,17021333.59
Willacy,Texas,22134,1546,8997289.17
Atascosa,Texas,44911,3181,1663242.2
Llano,Texas,19301,2494,315942.79
Bandera,Texas,20485,2074,281157.1
McCulloch,Texas,8283,2797,947119.27
Knox,Texas,3719,2240,2424749.72
Mills,Texas,4936,1947,259417.98
Erath,Texas,37890,2868,1589458.36
Falls,Texas,17866,1992,4644384.37
Blanco,Texas,10497,1830,165439.9
Terry,Texas,12651,2296,4957833.87
Howard,Texas,35012,2361,828478.74
Dimmit,Texas,9996,3454,552881.92
Menard,Texas,2242,2321,99020.08
Kerr,Texas,49625,2873,711626.05
Shackelford,Texas,3378,2394,232264.36
La Salle,Texas,6886,3831,596470.52
Stonewall,Texas,1490,2367,231040.23
Archer,Texas,9054,2400,1315266.19
Garza,Texas,6461,2323,838307.6
Swisher,Texas,7854,2331,7302261.02
Scurry,Texas,16921,2354,1072511.47
Schleicher,Texas,3461,3426,174439.32
Ochiltree,Texas,10223,2382,9587031.71
McMullen,Texas,707,2978,8876.94
Young,Texas,18550,2406,1027664.1
Frio,Texas,17217,2894,3709133.65
Zavala,Texas,11677,3406,1400544.35
Uvalde,Texas,26405,4053,4328330.75
Nolan,Texas,15216,2385,2045086.43
Yoakum,Texas,7879,2074,3439344.71
Eastland,Texas,18583,2406,368401.38
Limestone,Texas,23384,2432,988354.7
Somervell,Texas,8490,501,132397.52
Coryell,Texas,75388,2734,3427885.52
Taylor,Texas,131506,2363,3485967.8
Hamilton,Texas,8517,2159,923555.7
Hood,Texas,51182,1118,896041.57
Carson,Texas,6182,2396,4895927.28
Kimble,Texas,4607,3250,76531.15
Gillespie,Texas,24837,2750,777896.62
Dallam,Texas,6703,3901,19535167.58
Throckmorton,Texas,1641,2366,1084753.89
Armstrong,Texas,1901,2371,1152110.54
Hutchinson,Texas,22150,2332,3536911.71
Haskell,Texas,5899,2351,3209665.27
Jones,Texas,20202,2396,7675063.44
Childress,Texas,7041,1838,1147059.38
Runnels,Texas,10501,2728,3537348.13
Floyd,Texas,6446,2566,6398627.1
Baylor,Texas,3726,2354,2077379.12
Mason,Texas,4012,2429,195329.75
Utah,Utah,516564,5559,10909166.14
Carbon,Utah,21403,3846,332120.7
Weber,Utah,231236,1710,3862844.44
Iron,Utah,46163,8535,2044667.26
Summit,Utah,36324,4880,1552931.27
Morgan,Utah,9469,1585,159391.65
Juab,Utah,10246,8826,560551.39
Uintah,Utah,32588,11621,1040725.32
Emery,Utah,10976,11550,317242.37
Wasatch,Utah,23530,3120,466761.5
Beaver,Utah,6629,6654,3201821.65
Bennington,Vermont,37125,1765,2617551.52
Orleans,Vermont,27231,1863,1790908.93
Fairfax City,Virginia,22565,16,441733.55
Franklin City,Virginia,8582,18,167104.08
Emporia,Virginia,5927,18,377660.32
Smyth,Virginia,32208,1167,2169841.05
Augusta,Virginia,73750,2502,11690393.56
Powhatan,Virginia,28046,676,1485525.86
Fluvanna,Virginia,25691,748,2006608.93
Mecklenburg,Virginia,32727,1752,6537018.87
Chesterfield,Virginia,316236,1136,7077533.31
Isle of Wight,Virginia,35270,838,12827360.25
Campbell,Virginia,54842,1299,14663146.5
Bedford,Virginia,68676,2007,7103764.4
Rockingham,Virginia,76314,2204,6179707.98
Buckingham,Virginia,17146,1514,12017892.02
Giles,Virginia,17286,938,2658000.43
Wise,Virginia,41452,1047,1864301.12
Portsmouth,Virginia,95535,90,1525436.62
Martinsville,Virginia,13821,29,534709.5
Winchester,Virginia,26203,23,739791.32
Culpeper,Virginia,46689,994,3164784.67
Greene,Virginia,18403,410,427931.91
Prince Edward,Virginia,23368,917,3309854.51
Roanoke,Virginia,92376,648,2044632.04
Northumberland,Virginia,12330,484,3563438
Mathews,Virginia,8978,227,543687.72
Halifax,Virginia,36241,2136,9897600.79
Bland,Virginia,6824,927,2320382.89
Pulaski,Virginia,34872,860,737257.62
Waynesboro,Virginia,21006,37,538158.9
Petersburg,Virginia,32420,60,693799.32
Botetourt,Virginia,33148,1417,3087688.53
Harrisonburg,Virginia,48914,46,934950.23
Norton,Virginia,3958,20,379793.2
Salem,Virginia,24802,37,852660.61
Radford,Virginia,16408,28,270377.06
Wythe,Virginia,29235,1202,1267328.66
Charlottesville,Virginia,43475,30,784540.04
Frederick,Virginia,78305,1077,3004522.11
Clarke,Virginia,14034,459,1055670.86
Whatcom,Washington,201140,5615,10189948.29
Garfield,Washington,2266,1864,4979403.54
Lincoln,Washington,10570,6057,17957293.04
Kitsap,Washington,251133,1034,4611733.28
Douglas,Washington,38431,4773,6531360.62
Yakima,Washington,243231,11158,15707395.2
Columbia,Washington,4078,2257,5201733.63
Island,Washington,78506,554,1234685.94
Stevens,Washington,43531,6565,31604479.81
Franklin,Washington,78163,3268,8221240.41
Wahkiakum,Washington,3978,675,2601453.38
Grays Harbor,Washington,72797,5000,47284736.71
Brooke,West Virginia,24069,236,428041.55
Harrison,West Virginia,69099,1081,4419035.57
Lincoln,West Virginia,21720,1130,883994.52
Clay,West Virginia,9386,894,5098277.76
Calhoun,West Virginia,7627,726,1410254.23
Wayne,West Virginia,42481,1324,1747070.48
Mercer,West Virginia,62264,1085,12570257.85
Berkeley,West Virginia,104169,834,5862410.42
Marion,West Virginia,56418,807,2002321.79
Wirt,West Virginia,5717,600,695698.24
Ohio,West Virginia,44443,280,3389120.72
Taylor,Wisconsin,20689,2550,5921420.13
Lincoln,Wisconsin,28743,2344,9300989.93
Eau Claire,Wisconsin,98736,1671,7085729.56
Waushara,Wisconsin,24496,1650,3723691.18
Portage,Wisconsin,70019,2131,6922666.31
Vilas,Wisconsin,21430,2643,3102121.29
Bayfield,Wisconsin,15014,3900,3265522.73
Dane,Wisconsin,488073,3203,24837806.95
Marquette,Wisconsin,15404,1208,2771589.13
Iowa,Wisconsin,23687,1995,5732440.47
Washington,Wisconsin,131887,1122,5431198.6
Ashland,Wisconsin,16157,2732,4978364.28
Pepin,Wisconsin,7469,638,4253740.46
Rusk,Wisconsin,14755,2411,3790713.54
Calumet,Wisconsin,48971,1027,5826145.16
Shawano,Wisconsin,41949,2354,11400654.52
Green Lake,Wisconsin,19051,979,5138326.79
Langlade,Wisconsin,19977,2307,9592060.32
Sawyer,Wisconsin,16557,3495,10137427.4
Green,Wisconsin,36842,1511,7016171.08
Lafayette,Wisconsin,16836,1642,9582187.33
Washburn,Wisconsin,15911,2207,3802955.73
Kenosha,Wisconsin,166426,717,6232559.82
Price,Wisconsin,14159,3312,14562032.11
Winnebago,Wisconsin,166994,1499,7815265.43
Richland,Wisconsin,18021,1528,3348131.39
Wood,Wisconsin,74749,2096,24278059.28
Columbia,Wisconsin,56833,2063,12822852.48
Iron,Wisconsin,5916,2090,4663130.44
Sublette,Wyoming,10247,12786,236228.67
Carbon,Wyoming,15885,20575,306558.27
