County,State,Population in 2010,Area (sq km),Total Onshore & Offshore Hydrogen Potential (kg/yr)
Mecklenburg,North Carolina,919628,1439,15002832.05
Alamance,North Carolina,151131,1104,15453717.09
Cumberland,North Carolina,319431,1683,8183147.55
Bladen,North Carolina,35190,2282,9439629.44
Wake,North Carolina,900993,2217,16726509.41
Bertie,North Carolina,21282,1824,14055935.48
Camden,North Carolina,9980,619,5384347.37
Martin,North Carolina,24505,1209,41053785.21
Currituck,North Carolina,23547,682,4171234.35
Pasquotank,North Carolina,40661,588,6400684.41
Perquimans,North Carolina,13453,641,6761416.17
Tyrrell,North Carolina,4407,1018,4810735.23
Hyde,North Carolina,5810,1778,7366984.94
Halifax,North Carolina,54691,1916,32029946.98
Anson,North Carolina,26948,1382,7037274.18
Northampton,North Carolina,22099,1420,11342733.28
Nash,North Carolina,95840,1413,7324071.66
New Hanover,North Carolina,202667,485,5876881.77
Lenoir,North Carolina,59495,1049,8525104.11
Hertford,North Carolina,24669,929,6703000.2
Pender,North Carolina,52217,2245,9024328.55
Onslow,North Carolina,177772,1950,8510507.87
Pitt,North Carolina,168148,1696,13648773.26
Davidson,North Carolina,162878,1480,9025999.47
Wilson,North Carolina,81234,981,6292420.7
Duplin,North Carolina,58505,2123,19572471.61
Hoke,North Carolina,46952,1018,4043524.51
Caldwell,North Carolina,83029,1225,5849688.6
Rutherford,North Carolina,67810,1471,17724105.51
Stark,North Dakota,24199,3476,11766568.58
Logan,North Dakota,1990,2616,7413041.93
Pembina,North Dakota,7413,2909,21662634.63
Walsh,North Dakota,11119,3363,21067948.96
Burleigh,North Dakota,81308,4318,13037798.82
Butler,Ohio,368130,1217,11769484.09
Licking,Ohio,166492,1779,11609543.01
Lorain,Ohio,301356,1282,10160757.07
Ashland,Ohio,53139,1103,7159446.6
Cuyahoga,Ohio,1280122,1197,24146323.1
Wayne,Ohio,114520,1442,12022652.79
Coshocton,Ohio,36901,1469,5841349.71
Fairfield,Ohio,146156,1317,12607438
Noble,Ohio,14645,1047,1070685.84
Tuscarawas,Ohio,92582,1479,13309850.25
Washington,Ohio,61778,1665,6972947.87
Belmont,Ohio,70400,1408,4647057.27
Columbiana,Ohio,107841,1386,6392187.58
Scioto,Ohio,79499,1603,5924800.03
Jefferson,Ohio,69709,1068,8094273.19
Lake,Ohio,230041,600,3780004.5
Portage,Ohio,161419,1306,7862661.23
Richland,Ohio,124475,1297,11285906.8
Wood,Ohio,125488,1610,19348179.98
Haskell,Oklahoma,12769,1615,238372.85
Woodward,Oklahoma,20081,3228,2539636.78
Caddo,Oklahoma,29600,3312,5418955.64
Canadian,Oklahoma,115541,2330,7038547.47
Washita,Oklahoma,11629,2615,6799404.52
Comanche,Oklahoma,124098,2798,5125181.6
Custer,Oklahoma,27469,2589,5085051.53
Ellis,Oklahoma,4151,3208,1781031.16
Harper,Oklahoma,3685,2699,2216131.44
Kay,Oklahoma,46562,2451,6961244.48
Osage,Oklahoma,47472,5997,1896651.21
Okmulgee,Oklahoma,40069,1831,800899.95
Garvin,Oklahoma,27576,2103,1091278.92
Grady,Oklahoma,52431,2860,4541316.67
Jefferson,Oklahoma,6472,2023,495713.36
Murray,Oklahoma,13488,1092,296200.1
Cleveland,Oklahoma,255755,1436,3872807.79
Pawnee,Oklahoma,16577,1542,471291.23
