County,State,Population in 2010,Area (sq km),Total Utility PV Hydrogen Potential (kg/yr)
Grant,Wisconsin,51208,3057,527345289.9
McIntosh,Georgia,14333,1147,777712866.3
Parke,Indiana,17339,1171,1131814166
Van Buren,Arkansas,17295,1882,209248083.4
Greene,Arkansas,42090,1497,1764575165
Jackson,Arkansas,17997,1663,2128025829
Floyd,Indiana,74578,385,75795406.56
Martin,Kentucky,12929,600,0
Schoolcraft,Michigan,8485,3177,1401477668
Franklin,North Carolina,60619,1270,1183604670
Burke,North Carolina,90912,1349,17995594.78
Cherokee,North Carolina,27444,1208,12033424.22
Pickens,South Carolina,119224,1330,53844943.4
Lee,Virginia,25587,1135,19147024.3
Lunenburg,Virginia,12914,1115,868604872
Phillips,Montana,4253,13529,11722444388
Livingston,New York,65393,1650,751261956.2
Herkimer,New York,64519,3767,338360376.4
Dutchess,New York,297488,2126,182341481.7
Grant,North Dakota,2394,4304,3239848048
Angelina,Texas,86771,2246,1922781516
Wood,Texas,41964,1808,1237445767
Nacogdoches,Texas,64524,2536,1230394679
Limestone,Alabama,82782,1572,1513715278
Fairbanks North Star,Alaska,97581,19281,1876412574
Jefferson,Georgia,16930,1375,1488799518
Johnson,Georgia,9980,794,971608777.6
Treutlen,Georgia,6885,523,609172930.7
Washington,Georgia,21187,1772,1471463896
Columbia,Georgia,124053,801,294041112.9
DeKalb,Georgia,691893,700,8610708.36
Fannin,Georgia,23682,1021,0
Brevard,Florida,543376,2794,939580639.9
Culberson,Texas,2398,9879,9836603158
Telfair,Georgia,16500,1151,1243691021
Tift,Georgia,40118,696,826123050.9
Craig,Virginia,5190,852,7835970.8
Juneau,Wisconsin,26664,2090,1402005587
Oneida,Wisconsin,35998,3201,1828288332
Hinsdale,Colorado,843,2911,20510305.22
Volusia,Florida,494593,3087,1834950168
Stewart,Georgia,6058,1213,422002105.7
Quitman,Georgia,2513,426,67030332.82
Talbot,Georgia,6865,1023,418655722.6
Seminole,Georgia,8729,668,912196066.9
Coweta,Georgia,127317,1152,508948341.1
Johnston,North Carolina,168878,2058,2225583451
Gilpin,Colorado,5441,390,0
Arlington,Virginia,207627,69,26144075.5
Goochland,Virginia,21717,751,331092090.5
Manassas,Virginia,37821,26,2428806.32
Henry,Virginia,54151,998,30512588.9
Doddridge,West Virginia,8202,830,0
Tucker,West Virginia,7141,1095,3804307.08
Brown,Wisconsin,248007,1388,1333285295
Forest,Wisconsin,9304,2711,1433990827
Fayette,Texas,24554,2476,2968272747
Johnson,Nebraska,5217,973,536865304
Richland,North Dakota,16321,3752,5304730094
Lawrence,Ohio,62450,1186,17663376.1
Erie,Ohio,77079,672,651266385.1
Monroe,Ohio,14642,1188,2012739.82
